Date,Active_Lever_Presses,Inactive_Lever_Presses,Session_Number,Stage,Animal.ID,Genotype,Drug,Dose
2018-09-05,265,11,16,FR5,60,WT,,
2018-09-06,332,15,1,PR DL/FR5 DL,60,WT,,
2018-09-07,506,31,2,FR5 DL/PR DL,60,WT,,
2018-09-10,365,14,17,FR5,60,WT,,
2018-09-11,288,15,1,PR 2HR + ATO,60,WT,ATO,3
2018-09-12,359,17,18,FR5,60,WT,,
2018-09-13,555,55,4,PR 2HR,60,WT,,
2018-09-14,424,7,19,FR5,60,WT,,
2018-09-17,436,4,20,FR5,60,WT,,
2018-09-18,265,17,2,PR 2HR + ATO,60,WT,ATO,1
2018-09-19,380,18,21,FR5,60,WT,,
2018-09-20,628,31,5,PR 2HR,60,WT,,
2018-09-21,400,20,22,FR5,60,WT,,
2018-09-24,397,5,23,FR5,60,WT,,
2018-09-25,626,57,3,PR 2HR + ATO,60,WT,Saline,0
2018-07-23,5,0,1,FR1 SL,74,WT,,
2018-07-24,42,0,2,FR1 SL,74,WT,,
2018-07-25,90,0,3,FR1 SL,74,WT,,
2018-07-26,85,0,4,FR1 SL,74,WT,,
2018-07-27,94,1,1,FR1 DL,74,WT,,
2018-07-30,89,2,2,FR1 DL,74,WT,,
2018-07-31,102,0,3,FR1 DL,74,WT,,
2018-08-01,100,5,4,FR1 DL,74,WT,,
2018-08-02,267,2,1,FR3,74,WT,,
2018-08-03,254,2,2,FR3,74,WT,,
2018-08-06,182,7,3,FR3,74,WT,,
2018-08-07,216,5,4,FR3,74,WT,,
2018-08-08,340,4,1,FR5,74,WT,,
2018-08-09,425,3,2,FR5,74,WT,,
2018-08-10,425,3,3,FR5,74,WT,,
2018-08-13,370,3,4,FR5,74,WT,,
2018-08-14,92,0,1,FR5 DEVAL,74,WT,,
2018-08-15,315,2,5,FR5,74,WT,,
2018-08-16,425,2,6,FR5,74,WT,,
2018-08-17,105,14,2,FR5 DEVAL,74,WT,,
2018-08-20,335,0,7,FR5,74,WT,,
2018-08-21,355,0,8,FR5,74,WT,,
2018-08-22,341,0,9,FR5,74,WT,,
2018-08-23,361,0,10,FR5,74,WT,,
2018-08-24,415,5,11,FR5,74,WT,,
2018-08-27,337,0,12,FR5,74,WT,,
2018-08-28,686,0,1,PR 2HR,74,WT,,
2018-08-29,400,6,13,FR5,74,WT,,
2018-08-30,721,0,2,PR 2HR,74,WT,,
2018-08-31,390,13,14,FR5,74,WT,,
2018-09-03,315,0,15,FR5,74,WT,,
2018-09-04,510,0,3,PR 2HR,74,WT,,
2018-09-05,229,0,16,FR5,74,WT,,
2018-09-06,315,0,1,PR DL/FR5 DL,74,WT,,
2018-09-07,313,0,2,FR5 DL/PR DL,74,WT,,
2018-09-10,265,0,17,FR5,74,WT,,
2018-09-11,136,0,1,PR 2HR + ATO,74,WT,ATO,3
2018-09-12,300,9,18,FR5,74,WT,,
2018-09-13,503,15,4,PR 2HR,74,WT,,
2018-09-14,335,0,19,FR5,74,WT,,
2018-09-17,361,0,20,FR5,74,WT,,
2018-09-18,325,0,2,PR 2HR + ATO,74,WT,ATO,1
2018-09-19,365,6,21,FR5,74,WT,,
2018-09-20,764,49,5,PR 2HR,74,WT,,
2018-09-21,365,0,22,FR5,74,WT,,
2018-09-24,400,0,23,FR5,74,WT,,
2018-09-25,739,54,3,PR 2HR + ATO,74,WT,Saline,0
2018-07-23,17,0,1,FR1 SL,69,WT,,
2018-07-24,23,0,2,FR1 SL,69,WT,,
2018-07-25,71,0,3,FR1 SL,69,WT,,
2018-07-26,79,0,4,FR1 SL,69,WT,,
2018-07-27,112,18,1,FR1 DL,69,WT,,
2018-07-30,94,22,2,FR1 DL,69,WT,,
2018-07-31,109,7,3,FR1 DL,69,WT,,
2018-08-01,128,23,4,FR1 DL,69,WT,,
2018-08-02,225,31,1,FR3,69,WT,,
2018-08-03,270,8,2,FR3,69,WT,,
2018-08-06,295,18,3,FR3,69,WT,,
2018-08-07,300,28,4,FR3,69,WT,,
2018-08-08,373,19,1,FR5,69,WT,,
2018-08-09,479,19,2,FR5,69,WT,,
2018-08-10,392,9,3,FR5,69,WT,,
2018-08-13,353,10,4,FR5,69,WT,,
2018-08-14,98,3,1,FR5 DEVAL,69,WT,,
2018-08-15,295,6,5,FR5,69,WT,,
2018-08-16,354,6,6,FR5,69,WT,,
2018-08-17,77,5,2,FR5 DEVAL,69,WT,,
2018-08-20,281,10,7,FR5,69,WT,,
2018-08-21,297,8,8,FR5,69,WT,,
2018-08-22,380,8,9,FR5,69,WT,,
2018-08-23,460,37,10,FR5,69,WT,,
2018-08-24,490,25,11,FR5,69,WT,,
2018-08-27,345,18,12,FR5,69,WT,,
2018-08-28,779,59,1,PR 2HR,69,WT,,
2018-08-29,333,5,13,FR5,69,WT,,
2018-08-30,942,33,2,PR 2HR,69,WT,,
2018-08-31,434,2,14,FR5,69,WT,,
2018-09-03,414,7,15,FR5,69,WT,,
2018-09-04,895,21,3,PR 2HR,69,WT,,
2018-09-05,372,9,16,FR5,69,WT,,
2018-09-06,336,8,1,PR DL/FR5 DL,69,WT,,
2018-09-07,888,25,2,FR5 DL/PR DL,69,WT,,
2018-09-10,458,10,17,FR5,69,WT,,
2018-09-11,427,10,1,PR 2HR + ATO,69,WT,ATO,3
2018-09-12,445,5,18,FR5,69,WT,,
2018-09-13,732,22,4,PR 2HR,69,WT,,
2018-09-14,395,2,19,FR5,69,WT,,
2018-09-17,393,3,20,FR5,69,WT,,
2018-09-18,428,9,2,PR 2HR + ATO,69,WT,ATO,1
2018-09-19,463,1,21,FR5,69,WT,,
2018-09-20,721,18,5,PR 2HR,69,WT,,
2018-09-21,426,14,22,FR5,69,WT,,
